                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2089,                   1.14,                0.97548,                0.47828,                0.37573,                0.33267,                0.20355,                 1.2298,                 1.0663,                0.99562,              0.0033321,              0.0033321,              0.0033321
                      1,                  1.251,                 1.0163,                0.99003,                0.40911,                0.31517,                0.29304,                0.17029,                 1.3028,                 1.1089,                 1.0294,              0.0065335,              0.0065335,              0.0065335
                      2,                   1.34,                 1.1234,                 1.0335,                0.57935,                0.27555,                0.28643,                 0.1678,                 1.3015,                  1.097,                 1.0446,              0.0096028,              0.0096028,              0.0096028
                      3,                 1.3379,                 1.1429,                 1.0398,                0.41717,                0.34651,                0.31825,                0.19128,                  1.198,                0.96558,                 1.0025,               0.009406,               0.009406,               0.009406
                      4,                 1.2615,                   1.03,                 1.0078,                0.47284,                0.37726,                 0.3531,                0.21717,                 1.1554,                0.89346,                0.98402,               0.009406,               0.009406,               0.009406
                      5,                 1.2143,                0.96393,                0.98818,                0.43439,                0.40297,                0.36924,                0.22918,                 1.1376,                0.86757,                0.97714,               0.009208,               0.009208,               0.009208
                      6,                 1.1864,                0.93023,                0.97556,                 0.4355,                 0.4117,                0.37844,                0.23616,                 1.1276,                0.85684,                0.97292,                0.00901,                0.00901,                0.00901
                      7,                 1.1655,                0.89866,                0.96642,                0.44451,                0.41317,                0.38575,                0.24126,                 1.1217,                0.85067,                0.97057,               0.008812,               0.008812,               0.008812
                      8,                 1.1493,                0.87247,                0.96002,                0.46391,                0.41504,                0.39176,                0.24533,                 1.1178,                0.84539,                0.96917,               0.008614,               0.008614,               0.008614
                      9,                 1.1359,                0.85287,                0.95465,                  0.484,                0.41534,                 0.3989,                0.24973,                 1.1135,                0.84101,                0.96722,               0.008416,               0.008416,               0.008416
                     10,                 1.1252,                0.83502,                0.95034,                0.49855,                0.41926,                0.40397,                0.25244,                 1.1089,                0.83614,                0.96521,               0.008218,               0.008218,               0.008218
                     11,                 1.1146,                0.81798,                0.94591,                0.50581,                0.42132,                0.40772,                0.25436,                 1.1047,                0.83215,                0.96342,                0.00802,                0.00802,                0.00802
                     12,                 1.1051,                0.80127,                0.94297,                0.51459,                0.42098,                0.41119,                0.25696,                  1.101,                0.82864,                0.96208,               0.007822,               0.007822,               0.007822
                     13,                  1.097,                 0.7909,                0.93839,                0.53275,                0.42395,                0.41488,                0.25829,                 1.0979,                 0.8258,                0.96077,               0.007624,               0.007624,               0.007624
                     14,                 1.0892,                0.77747,                0.93635,                0.53749,                0.42563,                0.41561,                0.25886,                 1.0945,                 0.8238,                0.95948,               0.007426,               0.007426,               0.007426
                     15,                 1.0819,                0.76338,                0.93289,                0.54837,                0.42493,                0.41752,                0.25957,                 1.0917,                 0.8231,                0.95839,               0.007228,               0.007228,               0.007228
                     16,                 1.0768,                0.75478,                0.93111,                0.55146,                0.42715,                0.41954,                0.26084,                  1.089,                0.82186,                0.95761,                0.00703,                0.00703,                0.00703
                     17,                  1.069,                0.74164,                0.92872,                0.55562,                0.43037,                0.42211,                0.26216,                 1.0866,                0.82167,                0.95629,               0.006832,               0.006832,               0.006832
                     18,                  1.063,                0.73133,                0.92703,                0.56711,                0.42947,                0.42613,                0.26402,                 1.0849,                0.82303,                0.95568,               0.006634,               0.006634,               0.006634
                     19,                 1.0567,                0.72074,                0.92431,                0.57734,                0.42909,                0.42907,                0.26586,                 1.0832,                0.82417,                0.95534,               0.006436,               0.006436,               0.006436
                     20,                 1.0505,                0.71389,                0.92124,                0.57638,                0.43153,                0.43081,                0.26678,                 1.0816,                0.82561,                0.95476,               0.006238,               0.006238,               0.006238
