                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.109,                0.83452,                 1.0122,                0.54019,                0.39472,                0.38484,                0.26467,                 1.0502,                0.85605,                0.98706,              0.0033331,              0.0033331,              0.0033331
                      1,                 1.0835,                0.70753,                 1.0009,                0.48994,                0.41329,                0.39256,                0.27231,                 1.0445,                0.85367,                0.99297,              0.0066335,              0.0066335,              0.0066335
                      2,                 1.0965,                0.70884,                 1.0103,                0.53699,                0.41287,                0.39011,                0.27089,                 1.0417,                 0.8527,                0.99481,              0.0099008,              0.0099008,              0.0099008
                      3,                 1.0811,                0.68006,                 1.0071,                0.55615,                0.37551,                0.39236,                0.27502,                 1.0463,                 0.9224,                 1.0071,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0434,                0.62476,                 0.9899,                0.61554,                0.36605,                0.39104,                0.27481,                 1.0481,                0.95419,                 1.0113,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.021,                0.59412,                0.98001,                0.54144,                0.36497,                0.38927,                0.27503,                 1.0472,                0.95628,                 1.0113,               0.009802,               0.009802,               0.009802
                      6,                 1.0068,                 0.5737,                0.97442,                0.57992,                0.36382,                0.38854,                0.27493,                  1.045,                0.94855,                 1.0102,              0.0097525,              0.0097525,              0.0097525
                      7,                0.99536,                0.55879,                0.96919,                0.57691,                0.36889,                 0.3902,                 0.2765,                 1.0437,                0.93414,                 1.0072,               0.009703,               0.009703,               0.009703
                      8,                0.98721,                 0.5479,                0.96438,                0.57451,                0.37323,                0.39318,                0.27843,                 1.0421,                0.91763,                 1.0036,              0.0096535,              0.0096535,              0.0096535
                      9,                0.98076,                0.54056,                0.96246,                0.57781,                 0.3744,                0.39472,                 0.2797,                  1.041,                0.90494,                 1.0008,               0.009604,               0.009604,               0.009604
                     10,                0.97383,                0.53229,                0.95776,                0.57224,                0.38064,                0.39532,                0.28068,                 1.0414,                0.89676,                0.99908,              0.0095545,              0.0095545,              0.0095545
                     11,                0.97032,                0.52808,                0.95799,                0.56159,                0.38184,                 0.3943,                0.28026,                 1.0424,                0.89204,                0.99849,               0.009505,               0.009505,               0.009505
                     12,                0.96629,                0.52298,                0.95544,                0.54092,                 0.3945,                0.39325,                0.27975,                 1.0442,                0.88933,                0.99892,              0.0094555,              0.0094555,              0.0094555
                     13,                0.96191,                0.51878,                0.95394,                0.55744,                0.39289,                0.39198,                0.27872,                 1.0453,                0.88976,                 0.9993,               0.009406,               0.009406,               0.009406
                     14,                0.95948,                0.51561,                0.95147,                0.53683,                0.39751,                0.39221,                0.27875,                 1.0471,                0.89351,                 1.0001,              0.0093565,              0.0093565,              0.0093565
                     15,                0.95708,                0.51286,                0.95098,                0.52522,                0.40007,                0.39066,                 0.2771,                 1.0488,                0.89577,                  1.001,               0.009307,               0.009307,               0.009307
                     16,                0.95431,                0.50996,                0.95061,                0.54389,                0.39139,                0.38933,                0.27591,                 1.0501,                0.89912,                 1.0017,              0.0092575,              0.0092575,              0.0092575
                     17,                0.95279,                0.50763,                 0.9486,                0.52667,                0.40345,                0.38841,                0.27534,                 1.0518,                0.90196,                 1.0026,               0.009208,               0.009208,               0.009208
                     18,                0.95118,                0.50618,                0.94721,                0.52001,                0.40033,                0.38631,                0.27327,                 1.0532,                0.90762,                  1.003,              0.0091585,              0.0091585,              0.0091585
                     19,                 0.9508,                0.50439,                0.94875,                0.48962,                0.39545,                0.38463,                0.27199,                 1.0537,                0.91151,                 1.0038,               0.009109,               0.009109,               0.009109
                     20,                0.94775,                0.50236,                0.94645,                0.49991,                0.39443,                0.38494,                0.27167,                 1.0554,                0.91424,                 1.0048,              0.0090595,              0.0090595,              0.0090595
                     21,                0.94765,                 0.5016,                0.94767,                0.49265,                0.38957,                0.38329,                0.27045,                 1.0561,                0.91811,                 1.0056,                0.00901,                0.00901,                0.00901
                     22,                0.94535,                0.49976,                0.94557,                 0.4682,                0.39363,                0.38029,                0.26852,                 1.0566,                0.92272,                 1.0059,              0.0089605,              0.0089605,              0.0089605
                     23,                0.94348,                0.49791,                0.94484,                0.44122,                0.39923,                0.37862,                0.26698,                 1.0575,                0.92558,                 1.0067,               0.008911,               0.008911,               0.008911
                     24,                0.94221,                0.49655,                0.94391,                0.44724,                0.39572,                0.37915,                0.26696,                 1.0575,                0.92832,                  1.007,              0.0088615,              0.0088615,              0.0088615
                     25,                0.94192,                0.49554,                0.94466,                0.47587,                0.38885,                 0.3792,                 0.2673,                 1.0578,                0.93138,                 1.0076,               0.008812,               0.008812,               0.008812
                     26,                0.93959,                0.49413,                0.94313,                0.48788,                0.38033,                0.37759,                0.26614,                 1.0588,                0.93576,                  1.008,              0.0087625,              0.0087625,              0.0087625
                     27,                0.93901,                0.49272,                0.94201,                0.48508,                0.38008,                0.37417,                0.26315,                 1.0594,                0.93973,                 1.0081,               0.008713,               0.008713,               0.008713
                     28,                0.93832,                0.49188,                0.94314,                0.48011,                  0.387,                 0.3748,                0.26339,                 1.0601,                0.94159,                 1.0086,              0.0086635,              0.0086635,              0.0086635
                     29,                0.93641,                0.49045,                0.94242,                0.46832,                0.37964,                0.37459,                 0.2634,                 1.0604,                0.94246,                 1.0088,               0.008614,               0.008614,               0.008614
