                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2263,                 1.0981,                 1.0637,                0.50866,                0.36626,                0.33846,                0.22266,                 1.1259,                0.95945,                 1.0388,              0.0033331,              0.0033331,              0.0033331
                      1,                 1.2855,                 1.0833,                 1.0979,                0.60086,                0.37548,                0.33658,                0.22243,                  1.105,                0.93275,                  1.035,              0.0065345,              0.0065345,              0.0065345
                      2,                 1.3605,                 1.2118,                 1.1491,                0.55915,                0.30812,                0.29832,                0.20261,                 1.1284,                 1.0504,                 1.0542,              0.0096038,              0.0096038,              0.0096038
                      3,                 1.3718,                 1.2324,                 1.1671,                0.70436,                0.20283,                 0.2686,                0.18607,                 1.1616,                 1.4145,                 1.0966,               0.009406,               0.009406,               0.009406
                      4,                 1.3113,                 1.1282,                 1.1321,                0.72759,                0.19921,                0.26739,                0.18675,                 1.1617,                 1.4708,                 1.1003,               0.009406,               0.009406,               0.009406
                      5,                 1.2749,                 1.0645,                 1.1094,                0.73121,                0.21589,                0.27479,                0.19161,                 1.1519,                 1.4222,                 1.0922,               0.009208,               0.009208,               0.009208
                      6,                 1.2489,                 1.0184,                 1.0942,                0.71746,                0.24248,                0.28537,                0.19808,                 1.1377,                 1.3327,                  1.079,                0.00901,                0.00901,                0.00901
                      7,                 1.2308,                0.98485,                 1.0834,                0.66062,                0.27647,                 0.2969,                0.20539,                 1.1237,                 1.2329,                  1.066,               0.008812,               0.008812,               0.008812
                      8,                 1.2164,                0.95577,                 1.0735,                0.60313,                0.30135,                0.30726,                0.21225,                 1.1104,                 1.1417,                 1.0541,               0.008614,               0.008614,               0.008614
                      9,                 1.2031,                0.93035,                 1.0675,                0.59506,                 0.3318,                0.31926,                0.21983,                 1.1001,                 1.0629,                 1.0451,               0.008416,               0.008416,               0.008416
                     10,                 1.1927,                0.91299,                 1.0598,                0.60064,                0.35651,                0.33125,                0.22713,                 1.0907,                0.99922,                 1.0372,               0.008218,               0.008218,               0.008218
                     11,                 1.1822,                0.89281,                 1.0553,                0.49683,                0.37455,                0.34382,                0.23578,                 1.0828,                0.95206,                 1.0317,                0.00802,                0.00802,                0.00802
