                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.97532,                0.54279,                0.95899,                0.48797,                0.39072,                0.37607,                0.25881,                 1.0602,                0.92864,                0.99639,              0.0033331,              0.0033331,              0.0033331
                      1,                 0.9751,                 0.5417,                0.95585,                0.48135,                0.38688,                0.39146,                0.27313,                  1.053,                0.91242,                0.99828,              0.0060065,              0.0060065,              0.0060065
                      2,                 1.0025,                0.57505,                0.96818,                0.46027,                0.38902,                0.38577,                 0.2692,                 1.0499,                0.88973,                0.99753,              0.0080198,              0.0080198,              0.0080198
                      3,                 1.0162,                0.58845,                0.97438,                0.47096,                0.39011,                0.38602,                0.27097,                 1.0469,                0.88061,                0.99645,                0.00703,                0.00703,                0.00703
                      4,                 1.0007,                0.56645,                0.96773,                0.47846,                0.38957,                0.38813,                0.27383,                 1.0445,                0.87403,                0.99523,                0.00703,                0.00703,                0.00703
                      5,                0.97781,                 0.5386,                 0.9586,                0.48511,                0.39066,                0.38866,                0.27446,                 1.0444,                0.87695,                0.99472,                0.00604,                0.00604,                0.00604
                      6,                0.95782,                 0.5133,                0.94932,                0.48623,                0.39475,                0.38884,                 0.2751,                 1.0447,                0.88305,                0.99432,                0.00505,                0.00505,                0.00505
                      7,                0.93772,                0.49084,                0.94125,                0.51051,                0.39334,                0.38841,                 0.2751,                 1.0452,                0.88964,                0.99431,                0.00406,                0.00406,                0.00406
                      8,                0.91886,                0.47024,                0.93399,                0.53062,                0.38795,                0.38606,                0.27383,                 1.0465,                0.89925,                 0.9949,                0.00307,                0.00307,                0.00307
                      9,                0.89858,                 0.4497,                0.92664,                0.58408,                0.37844,                 0.3842,                0.27301,                 1.0482,                0.90853,                0.99565,                0.00208,                0.00208,                0.00208
