                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2279,                 1.1378,                0.98047,                0.45356,                0.30814,                0.26505,                0.16441,                 1.1681,                 1.0146,                 0.9721,              0.0033321,              0.0033321,              0.0033321
                      1,                 1.2713,                 1.0267,                0.99559,                0.44994,                0.23081,                0.21808,                0.12728,                 1.1747,                 1.0095,                0.99289,              0.0065335,              0.0065335,              0.0065335
                      2,                 1.3596,                 1.1349,                 1.0394,                0.57964,                0.22214,                0.20044,                0.12194,                 1.1682,                 0.9907,                0.99708,              0.0096028,              0.0096028,              0.0096028
                      3,                 1.3546,                  1.133,                 1.0436,                0.58541,                0.24975,                0.22727,                 0.1419,                 1.0804,                0.89415,                0.96448,               0.009406,               0.009406,               0.009406
                      4,                  1.281,                 1.0358,                 1.0133,                0.58631,                0.29976,                0.27232,                0.17656,                 1.0409,                 0.8445,                0.94861,               0.009406,               0.009406,               0.009406
                      5,                  1.234,                0.97693,                0.99326,                0.57033,                0.30817,                0.28152,                0.18459,                 1.0209,                0.82749,                0.94048,               0.009208,               0.009208,               0.009208
                      6,                 1.2032,                 0.9378,                0.98044,                0.56817,                0.30628,                0.28547,                0.18767,                 1.0125,                0.81607,                0.93753,                0.00901,                0.00901,                0.00901
                      7,                 1.1832,                0.90875,                0.97125,                0.57328,                0.31016,                0.28762,                0.18991,                 1.0057,                0.80727,                 0.9355,               0.008812,               0.008812,               0.008812
                      8,                 1.1651,                0.88201,                0.96464,                0.57656,                0.31537,                0.29212,                0.19267,                 1.0002,                0.80028,                0.93352,               0.008614,               0.008614,               0.008614
                      9,                 1.1513,                 0.8629,                0.95856,                0.57888,                0.32374,                0.29476,                0.19468,                0.99606,                  0.794,                0.93175,               0.008416,               0.008416,               0.008416
                     10,                 1.1398,                0.84325,                0.95356,                 0.5845,                0.32928,                0.29788,                 0.1965,                0.99197,                0.78917,                0.93026,               0.008218,               0.008218,               0.008218
