                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2287,                 1.1267,                0.97659,                0.49842,                0.30605,                0.26736,                0.15971,                 1.1627,                 1.0284,                0.97568,              0.0033325,              0.0033325,              0.0033325
                      1,                 1.2765,                 1.0329,                0.99567,                0.50322,                0.28446,                0.25213,                0.15479,                 1.1055,                0.93979,                 0.9667,              0.0065339,              0.0065339,              0.0065339
                      2,                 1.3545,                 1.1392,                 1.0329,                0.66684,                0.23146,                0.21645,                0.13531,                 1.1264,                0.96878,                0.98603,              0.0096032,              0.0096032,              0.0096032
                      3,                 1.3682,                 1.1609,                 1.0453,                0.63858,                0.25359,                0.23943,                0.15044,                 1.0757,                0.89966,                0.96537,               0.009406,               0.009406,               0.009406
                      4,                 1.2934,                 1.0638,                 1.0134,                0.56288,                0.30503,                0.26892,                0.17561,                 1.0442,                0.85133,                0.95152,               0.009406,               0.009406,               0.009406
                      5,                 1.2493,                 1.0013,                0.99566,                0.57357,                0.30831,                0.28388,                0.18648,                 1.0259,                 0.8288,                0.94497,               0.009208,               0.009208,               0.009208
                      6,                 1.2165,                0.96151,                0.98204,                0.57395,                0.31227,                0.29112,                0.19163,                  1.017,                0.81788,                0.94064,                0.00901,                0.00901,                0.00901
                      7,                 1.1958,                0.93371,                0.97277,                0.58072,                0.31197,                0.29357,                0.19384,                 1.0116,                0.81102,                  0.938,               0.008812,               0.008812,               0.008812
                      8,                 1.1771,                0.90656,                0.96568,                0.57647,                0.31335,                 0.2953,                0.19515,                 1.0069,                0.80608,                0.93607,               0.008614,               0.008614,               0.008614
                      9,                 1.1647,                0.88404,                0.96045,                0.57562,                0.31688,                0.29659,                0.19662,                 1.0029,                0.80105,                 0.9343,               0.008416,               0.008416,               0.008416
                     10,                 1.1509,                0.86606,                0.95502,                0.57106,                0.32338,                0.29814,                0.19785,                0.99954,                0.79642,                0.93322,               0.008218,               0.008218,               0.008218
                     11,                 1.1401,                0.84734,                0.95117,                0.57749,                0.32571,                0.29927,                0.19861,                0.99579,                0.79218,                0.93223,                0.00802,                0.00802,                0.00802
                     12,                 1.1332,                0.83139,                0.94745,                0.57791,                0.33112,                0.29936,                0.19881,                0.99213,                0.78887,                0.93089,               0.007822,               0.007822,               0.007822
                     13,                 1.1227,                0.81442,                0.94375,                0.57785,                0.33495,                0.29984,                0.19856,                0.98911,                0.78605,                0.93016,               0.007624,               0.007624,               0.007624
                     14,                 1.1146,                0.80223,                0.94123,                0.58079,                0.33538,                0.29934,                0.19789,                0.98742,                0.78465,                0.92984,               0.007426,               0.007426,               0.007426
                     15,                 1.1088,                0.78791,                0.93832,                0.58248,                0.33395,                0.29934,                0.19797,                0.98604,                0.78341,                0.92971,               0.007228,               0.007228,               0.007228
                     16,                 1.1005,                0.77695,                0.93592,                0.58931,                0.33364,                0.30091,                0.19939,                0.98433,                0.78271,                0.92939,                0.00703,                0.00703,                0.00703
                     17,                 1.0955,                0.76401,                0.93371,                0.49306,                0.33087,                0.30168,                0.19999,                0.98218,                0.78295,                0.92867,               0.006832,               0.006832,               0.006832
                     18,                 1.0886,                0.75243,                0.93093,                0.49259,                0.32938,                0.30132,                 0.1994,                0.97956,                0.78377,                0.92774,               0.006634,               0.006634,               0.006634
                     19,                 1.0816,                0.74161,                 0.9278,                0.49206,                0.32884,                0.30176,                0.19907,                0.97804,                0.78412,                0.92709,               0.006436,               0.006436,               0.006436
                     20,                 1.0756,                0.72939,                0.92626,                 0.4898,                0.33134,                0.30338,                0.19972,                0.97569,                0.78565,                0.92622,               0.006238,               0.006238,               0.006238
                     21,                 1.0701,                0.71822,                0.92412,                0.49194,                0.33417,                0.30427,                0.19964,                0.97453,                0.78846,                0.92565,                0.00604,                0.00604,                0.00604
                     22,                 1.0648,                 0.7095,                0.92196,                0.49569,                0.33312,                0.30495,                0.20002,                0.97361,                 0.7897,                0.92512,               0.005842,               0.005842,               0.005842
                     23,                 1.0581,                0.69498,                0.91939,                0.50004,                0.33204,                0.30579,                0.19999,                0.97311,                0.79123,                0.92476,               0.005644,               0.005644,               0.005644
                     24,                 1.0518,                0.68419,                0.91839,                0.49769,                0.33544,                0.30707,                0.20079,                0.97244,                0.79193,                0.92447,               0.005446,               0.005446,               0.005446
                     25,                 1.0458,                0.67235,                0.91611,                0.59583,                0.33728,                0.30984,                0.20268,                0.97148,                0.79267,                0.92416,               0.005248,               0.005248,               0.005248
                     26,                 1.0388,                 0.6636,                0.91373,                0.59758,                0.33719,                0.30995,                0.20262,                0.97075,                 0.7958,                0.92375,                0.00505,                0.00505,                0.00505
                     27,                 1.0341,                0.65294,                0.91197,                0.59688,                0.33799,                0.31033,                0.20264,                0.97009,                0.79775,                0.92338,               0.004852,               0.004852,               0.004852
                     28,                  1.027,                0.64216,                 0.9093,                0.50109,                0.33648,                0.31242,                0.20418,                0.96906,                0.80032,                0.92272,               0.004654,               0.004654,               0.004654
                     29,                 1.0212,                0.63155,                0.90739,                0.60545,                0.33479,                0.31258,                0.20439,                0.96723,                0.80377,                0.92167,               0.004456,               0.004456,               0.004456
                     30,                 1.0153,                0.62161,                0.90611,                0.60163,                0.33536,                 0.3131,                0.20527,                0.96544,                0.80738,                0.92075,               0.004258,               0.004258,               0.004258
                     31,                 1.0094,                0.60973,                0.90303,                0.50626,                0.33312,                0.31465,                0.20656,                0.96393,                0.81095,                0.92027,                0.00406,                0.00406,                0.00406
                     32,                 1.0039,                0.60152,                0.90141,                 0.5057,                0.33253,                0.31489,                0.20694,                0.96345,                0.81293,                0.92017,               0.003862,               0.003862,               0.003862
                     33,                0.99646,                0.59111,                0.89901,                0.50882,                0.33279,                0.31555,                0.20771,                0.96322,                0.81492,                0.92012,               0.003664,               0.003664,               0.003664
                     34,                0.98953,                0.58033,                0.89697,                0.50682,                0.33384,                0.31582,                0.20812,                0.96262,                0.81728,                0.92003,               0.003466,               0.003466,               0.003466
                     35,                0.98321,                0.56947,                0.89517,                0.50937,                0.33316,                0.31574,                0.20813,                0.96301,                0.82029,                0.92004,               0.003268,               0.003268,               0.003268
                     36,                0.97578,                0.56069,                0.89212,                0.50379,                0.33361,                0.31445,                0.20782,                0.96297,                0.82307,                0.91978,                0.00307,                0.00307,                0.00307
                     37,                 0.9697,                0.55088,                0.89133,                0.50143,                 0.3297,                0.31388,                0.20804,                0.96297,                0.82626,                0.91943,               0.002872,               0.002872,               0.002872
                     38,                0.96232,                 0.5412,                0.88889,                0.50584,                0.32527,                0.31332,                 0.2082,                0.96274,                0.82863,                0.91906,               0.002674,               0.002674,               0.002674
                     39,                0.95654,                0.53178,                0.88661,                 0.5087,                0.32269,                0.31226,                0.20764,                 0.9625,                0.83115,                0.91875,               0.002476,               0.002476,               0.002476
                     40,                0.94783,                0.52192,                0.88376,                0.41085,                0.32199,                0.31098,                0.20736,                0.96239,                 0.8333,                0.91853,               0.002278,               0.002278,               0.002278
                     41,                0.94101,                0.51181,                0.88156,                0.41156,                0.32224,                0.31259,                0.20856,                0.96262,                0.83586,                0.91854,                0.00208,                0.00208,                0.00208
                     42,                0.93307,                0.50203,                0.87895,                0.41787,                0.32234,                 0.3145,                0.20984,                0.96293,                0.83847,                0.91837,               0.001882,               0.001882,               0.001882
                     43,                0.92378,                0.49185,                0.87695,                0.41982,                 0.3215,                0.31492,                0.21048,                0.96287,                0.84153,                0.91803,               0.001684,               0.001684,               0.001684
                     44,                0.91585,                0.48374,                0.87415,                0.41757,                0.32317,                0.31485,                0.21029,                0.96336,                0.84532,                0.91796,               0.001486,               0.001486,               0.001486
                     45,                0.90838,                0.47466,                0.87216,                0.41628,                0.32379,                0.31412,                0.20967,                0.96389,                0.85023,                0.91766,               0.001288,               0.001288,               0.001288
                     46,                0.89896,                0.46426,                0.86952,                0.41831,                0.32282,                0.31337,                0.20917,                0.96486,                0.85417,                0.91774,                0.00109,                0.00109,                0.00109
                     47,                0.89181,                 0.4561,                0.86726,                0.41732,                0.31826,                0.31246,                0.20886,                0.96623,                0.85882,                0.91761,               0.000892,               0.000892,               0.000892
                     48,                0.88193,                0.44768,                0.86526,                0.41531,                0.31664,                  0.311,                0.20789,                0.96775,                0.86416,                0.91781,               0.000694,               0.000694,               0.000694
                     49,                0.87356,                0.43943,                0.86312,                0.41533,                0.31875,                0.31054,                0.20765,                0.96905,                0.87026,                0.91789,               0.000496,               0.000496,               0.000496
