                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0888,                 1.6472,                0.94177,                0.41628,                0.34447,                0.32512,                0.19818,                 1.0766,                 1.6979,                0.92404,              0.0033325,              0.0033325,              0.0033325
                      1,                 1.0646,                 1.3475,                0.93036,                0.43909,                0.32783,                0.31938,                0.20255,                 1.0533,                 1.7142,                0.93021,              0.0066329,              0.0066329,              0.0066329
                      2,                 1.0844,                 1.3537,                0.93883,                0.41118,                 0.3421,                0.32404,                 0.2069,                 1.0619,                 1.6946,                0.93698,              0.0099002,              0.0099002,              0.0099002
                      3,                 1.0706,                 1.3059,                0.93716,                0.43215,                0.32858,                   0.33,                0.21383,                 1.0434,                 1.7051,                0.93189,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0223,                 1.1888,                0.92075,                0.42791,                0.33769,                0.32998,                0.21647,                 1.0336,                 1.7109,                0.92641,              0.0098515,              0.0098515,              0.0098515
                      5,                0.99291,                 1.1226,                 0.9127,                0.45211,                0.33812,                0.33086,                0.21863,                 1.0272,                 1.7212,                0.92457,               0.009802,               0.009802,               0.009802
                      6,                0.97643,                 1.0813,                0.90692,                0.46059,                0.32762,                0.32877,                0.21817,                 1.0239,                 1.7324,                0.92311,              0.0097525,              0.0097525,              0.0097525
                      7,                0.96274,                 1.0515,                0.90239,                0.44622,                0.33231,                 0.3272,                0.21761,                 1.0222,                 1.7421,                 0.9228,               0.009703,               0.009703,               0.009703
                      8,                0.95125,                 1.0291,                0.89974,                0.44326,                0.33234,                0.32683,                0.21791,                 1.0206,                 1.7425,                0.92232,              0.0096535,              0.0096535,              0.0096535
                      9,                0.94287,                 1.0126,                0.89667,                0.45225,                0.32242,                0.32743,                0.21833,                 1.0189,                  1.742,                0.92187,               0.009604,               0.009604,               0.009604
                     10,                0.93701,                0.99936,                0.89505,                0.45356,                0.32015,                  0.327,                0.21787,                 1.0182,                 1.7492,                0.92217,              0.0095545,              0.0095545,              0.0095545
                     11,                0.93332,                0.99058,                0.89344,                0.55077,                0.31899,                0.32502,                  0.217,                 1.0173,                 1.7524,                0.92228,               0.009505,               0.009505,               0.009505
                     12,                0.92791,                0.98223,                0.89197,                0.45088,                0.31941,                0.32407,                0.21577,                 1.0176,                 1.7589,                0.92267,              0.0094555,              0.0094555,              0.0094555
                     13,                0.92358,                0.97298,                0.89031,                0.45586,                0.31665,                 0.3242,                0.21545,                 1.0182,                 1.7643,                 0.9227,               0.009406,               0.009406,               0.009406
                     14,                0.92079,                0.96722,                0.88946,                0.46399,                0.31634,                0.32388,                0.21468,                  1.019,                 1.7654,                0.92287,              0.0093565,              0.0093565,              0.0093565
                     15,                0.91787,                  0.962,                0.88916,                0.56114,                0.31801,                0.32296,                0.21347,                 1.0194,                 1.7699,                 0.9229,               0.009307,               0.009307,               0.009307
                     16,                0.91576,                0.95784,                0.88766,                0.55248,                0.32242,                0.32307,                0.21345,                 1.0193,                 1.7725,                0.92266,              0.0092575,              0.0092575,              0.0092575
                     17,                0.91272,                0.95259,                 0.8872,                0.55291,                0.32277,                0.32223,                0.21331,                 1.0195,                  1.773,                0.92253,               0.009208,               0.009208,               0.009208
                     18,                0.91101,                0.94985,                0.88683,                0.55204,                 0.3217,                0.32229,                0.21389,                 1.0192,                 1.7728,                0.92246,              0.0091585,              0.0091585,              0.0091585
                     19,                0.90868,                0.94638,                0.88586,                0.55575,                0.31842,                0.32191,                0.21422,                 1.0192,                 1.7736,                0.92227,               0.009109,               0.009109,               0.009109
                     20,                0.90631,                0.94198,                0.88491,                0.45371,                0.31972,                0.32208,                0.21384,                 1.0186,                 1.7734,                 0.9218,              0.0090595,              0.0090595,              0.0090595
                     21,                0.90589,                0.94035,                0.88533,                0.54891,                0.31999,                 0.3213,                0.21336,                 1.0186,                 1.7769,                0.92185,                0.00901,                0.00901,                0.00901
                     22,                0.90457,                0.93736,                0.88489,                0.55291,                0.31999,                0.32149,                0.21349,                 1.0177,                 1.7752,                0.92162,              0.0089605,              0.0089605,              0.0089605
                     23,                0.90174,                0.93398,                0.88451,                0.54907,                0.32236,                0.32065,                0.21285,                 1.0176,                 1.7796,                0.92221,               0.008911,               0.008911,               0.008911
                     24,                0.90084,                0.93168,                0.88413,                0.54581,                0.32214,                0.31998,                0.21314,                 1.0181,                 1.7792,                0.92288,              0.0088615,              0.0088615,              0.0088615
                     25,                0.89926,                 0.9289,                0.88327,                0.53815,                0.33313,                0.31821,                0.21135,                 1.0188,                 1.7827,                0.92353,               0.008812,               0.008812,               0.008812
                     26,                0.89897,                0.92768,                0.88315,                0.55689,                0.32371,                0.31707,                0.21047,                 1.0196,                 1.7832,                0.92401,              0.0087625,              0.0087625,              0.0087625
                     27,                  0.897,                0.92463,                0.88223,                0.55662,                0.31937,                0.31732,                0.21145,                 1.0201,                 1.7874,                 0.9241,               0.008713,               0.008713,               0.008713
                     28,                 0.8968,                 0.9241,                0.88229,                0.43679,                0.32714,                0.31722,                0.21142,                 1.0206,                 1.7935,                0.92426,              0.0086635,              0.0086635,              0.0086635
                     29,                0.89495,                0.92061,                0.88137,                0.42312,                0.32871,                0.31612,                0.21045,                 1.0217,                 1.7993,                 0.9245,               0.008614,               0.008614,               0.008614
