                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0808,                0.83884,                 1.2516,                0.51403,                0.34174,                0.32712,                0.20249,                 1.0655,                0.83554,                 1.2357,              0.0033325,              0.0033325,              0.0033325
                      1,                 1.0533,                0.68631,                  1.234,                0.44351,                0.32339,                 0.3263,                 0.2122,                 1.0449,                0.84363,                 1.2331,              0.0066329,              0.0066329,              0.0066329
                      2,                 1.0685,                0.68795,                 1.2428,                0.43102,                0.34796,                0.33031,                0.21272,                  1.043,                0.84518,                 1.2423,              0.0099002,              0.0099002,              0.0099002
                      3,                 1.0509,                0.66344,                  1.238,                0.50004,                0.33487,                0.33007,                0.21456,                 1.0309,                0.84271,                 1.2355,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0008,                0.60302,                 1.2175,                0.44038,                0.33213,                0.33561,                0.22228,                 1.0207,                0.85127,                 1.2292,              0.0098515,              0.0098515,              0.0098515
                      5,                0.96906,                0.56726,                 1.2053,                0.45888,                0.32802,                0.33748,                0.22495,                 1.0147,                0.85504,                 1.2262,               0.009802,               0.009802,               0.009802
                      6,                 0.9532,                0.54654,                 1.1978,                0.44617,                0.33755,                 0.3346,                0.22139,                 1.0124,                0.85421,                 1.2261,              0.0097525,              0.0097525,              0.0097525
                      7,                0.93825,                0.52998,                 1.1915,                0.44513,                0.33581,                0.33432,                0.22209,                 1.0099,                0.85574,                 1.2258,               0.009703,               0.009703,               0.009703
                      8,                0.92782,                0.51897,                 1.1882,                0.44258,                0.34009,                0.33443,                0.22276,                 1.0082,                0.86082,                 1.2251,              0.0096535,              0.0096535,              0.0096535
                      9,                0.91905,                0.51005,                 1.1848,                0.44289,                0.34083,                 0.3338,                0.22258,                 1.0064,                0.86261,                 1.2246,               0.009604,               0.009604,               0.009604
                     10,                0.91302,                0.50294,                  1.182,                0.44914,                0.33466,                 0.3325,                0.22196,                 1.0058,                0.86382,                 1.2246,              0.0095545,              0.0095545,              0.0095545
                     11,                0.90845,                0.49789,                 1.1805,                 0.4533,                0.33178,                0.33136,                0.22218,                 1.0052,                0.86365,                 1.2242,               0.009505,               0.009505,               0.009505
                     12,                0.90322,                0.49301,                 1.1779,                0.46045,                0.32892,                 0.3316,                0.22259,                 1.0043,                0.86219,                 1.2233,              0.0094555,              0.0094555,              0.0094555
                     13,                0.89957,                0.48923,                 1.1772,                0.46385,                0.32799,                0.33152,                0.22253,                 1.0046,                0.86281,                 1.2233,               0.009406,               0.009406,               0.009406
