                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2369,                0.86394,                  1.115,                0.74934,                0.64867,                0.66312,                0.41184,                  1.135,                0.82242,                 1.0759,              0.0033331,              0.0033331,              0.0033331
                      1,                 1.2135,                0.76228,                  1.104,                0.75292,                0.65678,                0.66813,                0.41636,                 1.1253,                0.80249,                  1.072,              0.0060065,              0.0060065,              0.0060065
                      2,                 1.2148,                0.75619,                 1.1104,                 0.7517,                 0.6573,                0.66602,                0.41567,                  1.124,                0.80175,                 1.0718,              0.0080198,              0.0080198,              0.0080198
                      3,                 1.1937,                0.72147,                 1.1028,                0.75487,                0.64652,                0.66019,                 0.4141,                 1.1232,                 0.8252,                 1.0805,                0.00703,                0.00703,                0.00703
                      4,                 1.1602,                 0.6707,                 1.0877,                0.76029,                 0.6382,                0.65528,                0.41163,                 1.1231,                0.83976,                 1.0862,                0.00703,                0.00703,                0.00703
                      5,                 1.1281,                0.62436,                 1.0662,                0.76093,                0.63962,                0.65777,                0.41353,                 1.1226,                 0.8405,                 1.0852,                0.00604,                0.00604,                0.00604
                      6,                 1.1031,                0.59016,                 1.0539,                0.75946,                0.64504,                0.66017,                0.41476,                  1.122,                0.83523,                 1.0828,                0.00505,                0.00505,                0.00505
                      7,                 1.0781,                0.55872,                 1.0411,                0.75763,                0.64764,                0.66035,                 0.4147,                 1.1215,                0.83036,                 1.0804,                0.00406,                0.00406,                0.00406
                      8,                 1.0548,                0.53132,                 1.0278,                0.75387,                0.64358,                0.65288,                0.40964,                 1.1221,                0.82785,                 1.0782,                0.00307,                0.00307,                0.00307
                      9,                 1.0314,                 0.5053,                 1.0149,                0.75223,                0.65066,                0.65823,                0.41316,                  1.124,                0.82987,                 1.0772,                0.00208,                0.00208,                0.00208
