                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0551,                 1.4413,                 1.1253,                0.51394,                0.35829,                0.33728,                0.24468,                 1.1365,                 1.7542,                 1.1639,              0.0033331,              0.0033331,              0.0033331
                      1,                 1.0168,                 0.8913,                 1.1035,                0.37952,                0.34515,                0.32536,                0.23741,                 1.1322,                 1.8132,                 1.1763,              0.0060064,              0.0060064,              0.0060064
                      2,                 1.0338,                0.87698,                 1.1213,                0.53889,                0.32537,                0.32989,                0.23957,                 1.1524,                 1.8171,                 1.1916,              0.0080198,              0.0080198,              0.0080198
                      3,                 0.9995,                0.78738,                 1.1066,                0.35916,                0.33869,                0.31519,                0.22947,                 1.1597,                 1.9316,                  1.205,                0.00703,                0.00703,                0.00703
                      4,                0.94331,                0.67368,                 1.0743,                0.36348,                0.33957,                0.31411,                0.23291,                 1.1593,                  2.018,                 1.2095,                0.00703,                0.00703,                0.00703
                      5,                0.89429,                0.58562,                 1.0422,                0.37602,                0.32783,                0.31496,                0.23269,                 1.1652,                 2.1089,                  1.213,                0.00604,                0.00604,                0.00604
                      6,                0.85639,                0.52494,                 1.0185,                0.37113,                0.33248,                0.31366,                0.23209,                 1.1689,                 2.1732,                 1.2155,                0.00505,                0.00505,                0.00505
                      7,                0.82198,                0.47594,                0.99818,                0.37541,                0.33026,                0.31256,                0.23148,                 1.1735,                  2.222,                 1.2185,                0.00406,                0.00406,                0.00406
                      8,                0.78984,                0.43486,                0.97732,                0.37518,                 0.3281,                0.31285,                0.23273,                 1.1801,                 2.2595,                 1.2228,                0.00307,                0.00307,                0.00307
                      9,                0.75922,                0.39922,                0.95681,                0.38163,                  0.322,                0.31168,                0.23261,                 1.1864,                 2.2997,                 1.2262,                0.00208,                0.00208,                0.00208
